Phrasen-Frequenz-Report (deterministisch, fabrik/writing/phrase_stats.py)
Episoden ausgewertet: 1, 2, 3, 4, 6, 7, 8

Wiederholte Phrasen (>= 6x über die Staffel):
    15x  "you look like"
    14x  "neither of them"
    13x  "that's not a"
    11x  "reporter who has"
    10x  "in front of"
    10x  "twenty two hundred"
     9x  "a moment longer"
     8x  "for a moment"
     8x  "sits alone at"
     8x  "at her desk"
     7x  "reporter who has spent six"
     7x  "who has spent six months"
     7x  "has spent six months chasing"
     7x  "you look like you"
     7x  "two blocks from"
     7x  "phone face down"
     7x  "day forty eight"
     6x  "neither of them says"
     6x  "studies him a"
     6x  "that's all it"
     6x  "a man who"
     6x  "look like a"
     6x  "like a man"
     6x  "later that night"
     6x  "face down on"
     6x  "close enough to"
     6x  "and i still"
     6x  "it was never"
     6x  "him a beat"
     6x  "i used to"
     6x  "day forty seven"
     6x  "seventy two hours"

Style-Einheitston (>= 25x als style/tone/emotion-Wort):
   117x  style "quiet"
    71x  style "low"
    59x  style "flat"
    58x  style "himself"
    58x  style "almost"
    58x  style "herself"
    46x  style "measured"
    44x  style "guarded"
    43x  style "careful"
    41x  style "half"
    41x  style "quieter"
    37x  style "tired"
    37x  style "warm"
    36x  style "light"
    34x  style "gentle"
    31x  style "deflecting"
    28x  style "laugh"
    28x  style "testing"
    27x  style "casual"
    26x  style "dry"
    26x  style "soft"
